iter	Passed	Remaining
174	2788	29080
175	2803	29051
176	2818	29028
177	2833	29006
178	2848	28981
179	2863	28957
180	2878	28930
181	2893	28906
182	2908	28876
183	2923	28853
184	2938	28829
185	2953	28807
186	2968	28778
187	2983	28760
188	2999	28737
189	3013	28709
190	3028	28684
191	3044	28667
192	3059	28646
193	3074	28621
194	3089	28600
195	3104	28575
196	3120	28557
197	3134	28527
198	3149	28503
199	3163	28473
200	3179	28455
201	3193	28428
202	3209	28414
203	3224	28391
204	3241	28380
205	3256	28356
206	3271	28337
207	3286	28318
208	3302	28303
209	3317	28276
210	3331	28250
211	3346	28227
212	3361	28204
213	3377	28187
214	3392	28166
215	3411	28180
216	3432	28206
217	3457	28262
218	3477	28279
219	3499	28317
220	3515	28295
221	3530	28277
222	3544	28248
223	3563	28254
224	3580	28244
225	3595	28221
226	3610	28197
227	3625	28173
228	3639	28149
229	3654	28126
230	3670	28106
231	3684	28081
232	3700	28061
233	3715	28038
234	3730	28016
235	3745	27995
236	3760	27975
237	3775	27948
238	3790	27927
239	3805	27905
240	3820	27886
241	3836	27867
242	3852	27856
243	3867	27831
244	3882	27813
245	3897	27788
246	3912	27771
247	3927	27744
248	3942	27726
249	3958	27712
250	3973	27690
251	3989	27673
252	4004	27653
253	4020	27634
254	4035	27613
255	4051	27598
256	4066	27580
257	4081	27559
258	4097	27541
259	4111	27518
260	4127	27500
261	4142	27478
262	4157	27458
263	4172	27435
264	4187	27414
265	4202	27396
266	4217	27373
267	4233	27359
268	4248	27337
269	4263	27318
270	4279	27301
271	4295	27287
272	4310	27267
273	4325	27246
274	4341	27232
275	4355	27209
276	4371	27190
277	4386	27171
278	4403	27164
279	4418	27144
280	4433	27120
281	4449	27110
282	4464	27088
283	4480	27071
284	4494	27047
285	4510	27029
286	4525	27009
287	4540	26991
288	4555	26970
289	4570	26949
290	4585	26931
291	4601	26917
292	4617	26901
293	4632	26879
294	4647	26859
295	4661	26835
296	4677	26818
297	4691	26797
298	4706	26775
299	4724	26769
300	4739	26751
301	4754	26731
302	4769	26710
303	4784	26691
304	4799	26671
305	4814	26655
306	4829	26633
307	4847	26628
308	4864	26621
309	4879	26601
310	4894	26582
311	4908	26558
312	4923	26537
313	4938	26519
314	4954	26501
315	4969	26482
316	4984	26464
317	5000	26448
318	5016	26433
319	5031	26417
320	5049	26412
321	5066	26403
322	5083	26395
323	5100	26386
324	5118	26380
325	5134	26365
326	5152	26361
327	5169	26352
328	5188	26352
329	5206	26347
330	5224	26343
331	5242	26339
332	5259	26330
333	5276	26317
334	5293	26309
335	5310	26300
336	5328	26295
337	5345	26285
338	5362	26273
339	5379	26264
340	5395	26251
341	5414	26248
342	5436	26262
343	5460	26286
344	5488	26329
345	5516	26369
346	5627	26808
347	5663	26886
348	5680	26871
349	5696	26854
350	5713	26840
351	5729	26822
352	5746	26811
353	5763	26797
354	5781	26788
355	5798	26778
356	5815	26765
357	5833	26754
358	5849	26739
359	5868	26732
360	5885	26721
361	6003	27164
362	6053	27298
363	6071	27288
364	6087	27270
365	6105	27258
366	6123	27246
367	6139	27227
368	6156	27211
369	6173	27195
370	6190	27182
371	6207	27166
372	6224	27152
373	6242	27137
374	6259	27123
375	6276	27111
376	6303	27138
377	6320	27122
378	6337	27104
379	6353	27085
380	6368	27063
381	6384	27044
382	6402	27029
383	6418	27011
384	6435	26996
385	6453	26984
386	6470	26969
387	6490	26966
388	6510	26961
389	6527	26946
390	6544	26932
391	6563	26922
392	6580	26908
393	6598	26896
394	6615	26882
395	6631	26862
396	6647	26843
397	6663	26821
398	6679	26802
399	6696	26786
400	6711	26764
401	6727	26741
402	6743	26721
403	6759	26701
404	6775	26684
405	6792	26666
406	6808	26648
407	6824	26629
408	6840	26607
409	6856	26590
410	6872	26571
411	6891	26561
412	6907	26542
413	6924	26528
414	6941	26513
415	6959	26498
416	6978	26491
417	6998	26488
418	7014	26469
419	7031	26453
420	7048	26435
421	7066	26424
422	7082	26403
423	7097	26380
424	7112	26358
425	7126	26332
426	7142	26311
427	7157	26287
428	7173	26267
429	7188	26245
430	7202	26219
431	7217	26198
432	7232	26173
433	7247	26151
434	7262	26129
435	7277	26106
436	7293	26087
437	7308	26064
438	7324	26044
439	7340	26024
440	7355	26001
441	7371	25985
442	7388	25966
443	7404	25950
444	7421	25933
445	7437	25914
446	7452	25892
447	7467	25870
448	7482	25848
449	7498	25827
450	7514	25808
451	7529	25785
452	7543	25762
453	7558	25738
454	7574	25720
455	7589	25699
456	7604	25676
457	7619	25654
458	7634	25632
459	7649	25610
460	7664	25587
461	7679	25565
462	7694	25544
463	7711	25527
464	7726	25504
465	7741	25483
466	7756	25460
467	7771	25439
468	7786	25418
469	7801	25397
470	7817	25378
471	7833	25358
472	7848	25336
473	7863	25314
474	7878	25292
475	7893	25271
476	7907	25249
477	7922	25227
478	7937	25205
479	7952	25183
480	7967	25162
481	7983	25141
482	7998	25120
483	8013	25100
484	8029	25081
485	8044	25061
486	8059	25040
487	8074	25017
488	8089	24995
489	8104	24975
490	8120	24955
491	8134	24933
492	8150	24914
493	8165	24894
494	8181	24874
495	8197	24855
496	8212	24834
497	8226	24812
498	8242	24792
499	8257	24772
500	8272	24752
501	8288	24732
502	8303	24712
503	8318	24692
504	8333	24671
505	8349	24651
506	8364	24630
507	8378	24609
508	8394	24590
509	8409	24569
510	8425	24551
511	8440	24530
512	8455	24509
513	8470	24489
514	8485	24466
515	8500	24448
516	8516	24429
517	8533	24413
518	8548	24393
519	8563	24372
520	8578	24353
521	8593	24331
522	8608	24311
523	8623	24290
524	8639	24271
525	8654	24252
526	8669	24231
527	8684	24211
528	8699	24189
529	8714	24170
530	8729	24150
531	8744	24129
532	8759	24110
533	8774	24089
534	8790	24070
535	8806	24052
536	8824	24041
537	8842	24028
538	8859	24014
539	8875	23996
540	8893	23984
541	8909	23966
542	8927	23953
543	8943	23938
544	8961	23923
545	8981	23918
546	9009	23931
547	9036	23942
548	9061	23948
549	9078	23933
550	9095	23919
551	9113	23906
552	9131	23892
553	9148	23879
554	9166	23865
555	9183	23850
556	9202	23840
557	9219	23826
558	9257	23863
559	9336	24007
560	9376	24051
561	9392	24033
562	9409	24017
563	9427	24002
564	9442	23982
565	9459	23966
566	9477	23951
567	9494	23938
568	9513	23926
569	9531	23911
570	9549	23897
571	9565	23880
572	9582	23865
573	9600	23850
574	9618	23836
575	9634	23818
576	9652	23805
577	9670	23791
578	9688	23779
579	9705	23762
580	9724	23749
581	9741	23733
582	9759	23719
583	9778	23709
584	9795	23694
585	9812	23677
586	9831	23665
587	9848	23649
588	9865	23634
589	9882	23617
590	9900	23603
591	9918	23589
592	9938	23581
593	9958	23572
594	9979	23563
595	9997	23550
596	10014	23534
597	10033	23523
598	10051	23509
599	10069	23494
600	10086	23479
601	10103	23463
602	10121	23449
603	10140	23437
604	10159	23425
605	10177	23412
606	10196	23399
607	10213	23383
608	10228	23363
609	10243	23342
610	10258	23320
611	10274	23301
612	10289	23280
613	10303	23259
614	10319	23240
615	10335	23221
616	10350	23201
617	10365	23180
618	10381	23160
619	10420	23192
620	10484	23281
621	10515	23296
622	10533	23281
623	10548	23259
624	10562	23238
625	10577	23216
626	10591	23193
627	10606	23171
628	10621	23151
629	10637	23131
630	10652	23111
631	10667	23089
632	10681	23068
633	10697	23048
634	10711	23025
635	10726	23005
636	10741	22984
637	10757	22964
638	10772	22944
639	10787	22923
640	10802	22903
641	10816	22880
642	10832	22860
643	10847	22839
644	10861	22818
645	10877	22798
646	10891	22777
647	10907	22757
648	10921	22735
649	10938	22717
650	10952	22696
651	10968	22676
652	10982	22655
653	10999	22637
654	11015	22618
655	11030	22598
656	11046	22579
657	11060	22558
658	11075	22537
659	11090	22516
660	11105	22496
661	11120	22476
662	11136	22456
663	11151	22436
664	11166	22416
665	11181	22396
666	11196	22375
667	11211	22355
668	11226	22335
669	11242	22316
670	11257	22296
671	11272	22277
672	11288	22257
673	11303	22238
674	11319	22219
675	11334	22199
676	11349	22179
677	11364	22159
678	11380	22140
679	11394	22119
680	11410	22099
681	11425	22080
682	11440	22060
683	11455	22040
684	11471	22021
685	11485	22000
686	11501	21980
687	11515	21960
688	11530	21940
689	11545	21920
690	11560	21900
691	11577	21882
692	11593	21865
693	11610	21848
694	11626	21830
695	11643	21814
696	11660	21798
697	11676	21781
698	11693	21764
699	11710	21748
700	11726	21730
701	11743	21713
702	11759	21695
703	11774	21675
704	11789	21655
705	11804	21635
706	11821	21618
707	11837	21602
708	11852	21582
709	11868	21563
710	11883	21544
711	11898	21524
712	11914	21506
713	11930	21487
714	11945	21467
715	11959	21447
716	11975	21428
717	11990	21408
718	12004	21388
719	12019	21368
720	12035	21349
721	12050	21330
722	12065	21310
723	12081	21292
724	12095	21272
725	12111	21253
726	12127	21235
727	12146	21223
728	12162	21205
729	12179	21189
730	12196	21172
731	12211	21154
732	12229	21138
733	12247	21123
734	12263	21107
735	12280	21090
736	12297	21074
737	12315	21060
738	12332	21044
739	12350	21029
740	12366	21011
741	12383	20995
742	12400	20978
743	12417	20962
744	12433	20944
745	12450	20928
746	12467	20913
747	12484	20895
748	12501	20880
749	12518	20864
750	12534	20846
751	12551	20829
752	12567	20812
753	12584	20795
754	12601	20779
755	12617	20762
756	12634	20746
757	12654	20734
758	12671	20718
759	12688	20702
760	12705	20685
761	12722	20669
762	12739	20653
763	12756	20638
764	12773	20621
765	12792	20608
766	12811	20595
767	12828	20579
768	12845	20562
769	12862	20546
770	12879	20530
771	12895	20512
772	12909	20492
773	12925	20473
774	12940	20453
775	12955	20434
776	12969	20414
777	12984	20394
778	13000	20377
779	13017	20360
780	13032	20341
781	13047	20322
782	13063	20304
783	13078	20285
784	13094	20266
785	13110	20249
786	13125	20230
787	13140	20210
788	13155	20192
789	13170	20172
790	13185	20152
791	13200	20134
792	13216	20115
793	13230	20096
794	13246	20077
795	13261	20058
796	13276	20039
797	13291	20021
798	13307	20002
799	13323	19984
800	13338	19966
801	13353	19946
802	13368	19927
803	13383	19909
804	13399	19890
805	13414	19871
806	13429	19852
807	13444	19833
808	13459	19815
809	13477	19799
810	13492	19780
811	13507	19762
812	13522	19743
813	13537	19724
814	13553	19706
815	13569	19688
816	13583	19669
817	13598	19649
818	13613	19630
819	13629	19612
820	13644	19594
821	13659	19575
822	13674	19556
823	13689	19537
824	13704	19519
825	13720	19500
826	13735	19481
827	13750	19462
828	13765	19443
829	13780	19425
830	13796	19407
831	13810	19388
832	13825	19369
833	13840	19350
834	13857	19333
835	13871	19313
836	13886	19295
837	13901	19276
838	13919	19262
839	13937	19247
840	13954	19230
841	13970	19214
842	13987	19198
843	14005	19182
844	14022	19167
845	14039	19150
846	14056	19134
847	14074	19120
848	14092	19105
849	14108	19088
850	14126	19072
851	14144	19058
852	14162	19043
853	14180	19028
854	14197	19013
855	14215	18998
856	14232	18982
857	14250	18967
858	14267	18951
859	14286	18937
860	14304	18922
861	14321	18907
862	14339	18892
863	14356	18876
864	14374	18860
865	14392	18847
866	14410	18831
867	14465	18865
868	14537	18920
869	14572	18927
870	14588	18909
871	14605	18892
872	14620	18874
873	14635	18854
874	14649	18835
875	14664	18815
876	14679	18796
877	14693	18777
878	14709	18758
879	14724	18739
880	14739	18721
881	14753	18701
882	14768	18681
883	14783	18663
884	14797	18643
885	14812	18624
886	14827	18605
887	14842	18587
888	14857	18568
889	14873	18549
890	14888	18531
891	14903	18512
892	14919	18494
893	14933	18475
894	14949	18456
895	14965	18439
896	14979	18419
897	14995	18401
898	15010	18382
899	15025	18364
900	15039	18345
901	15054	18326
902	15069	18307
903	15084	18288
904	15098	18268
905	15115	18252
906	15131	18234
907	15146	18216
908	15161	18197
909	15176	18178
910	15192	18160
911	15206	18141
912	15222	18123
913	15237	18105
914	15252	18086
915	15268	18068
916	15282	18049
917	15297	18030
918	15313	18012
919	15328	17993
920	15343	17975
921	15358	17957
922	15372	17937
923	15388	17919
924	15403	17901
925	15418	17882
926	15433	17864
927	15448	17845
928	15463	17827
929	15478	17808
930	15494	17790
931	15509	17773
932	15524	17754
933	15539	17735
934	15554	17716
935	15569	17699
936	15584	17680
937	15600	17662
938	15615	17644
939	15630	17626
940	15645	17607
941	15661	17589
942	15675	17570
943	15691	17553
944	15706	17534
945	15721	17516
946	15736	17498
947	15752	17480
948	15767	17461
949	15781	17443
950	15796	17424
951	15811	17406
952	15827	17388
953	15842	17370
954	15857	17351
955	15872	17333
956	15888	17315
957	15902	17297
958	15917	17278
959	15935	17262
960	15950	17245
961	15965	17226
962	15980	17208
963	15995	17190
964	16011	17172
965	16027	17155
966	16042	17137
967	16057	17118
968	16072	17100
969	16086	17081
970	16102	17063
971	16116	17045
972	16132	17027
973	16147	17009
974	16162	16991
975	16178	16973
976	16192	16954
977	16207	16936
978	16222	16918
979	16238	16900
980	16253	16883
981	16268	16864
982	16283	16846
983	16298	16828
984	16314	16810
985	16329	16792
986	16343	16774
987	16358	16756
988	16374	16738
989	16389	16720
990	16404	16702
991	16420	16685
992	16434	16666
993	16450	16648
994	16464	16630
995	16479	16612
996	16495	16594
997	16513	16579
998	16528	16561
999	16544	16544
1000	16559	16526
1001	16575	16509
1002	16590	16491
1003	16605	16473
1004	16620	16455
1005	16635	16437
1006	16651	16419
1007	16666	16401
1008	16681	16383
1009	16696	16365
