Experiment,Status,Split,MAE,ACC_EXACT,ACC_0.5,ACC_1.0,ACC_1.5,n_features,llm_enabled
plus_languagetool,completed,dev,0.7778696701406518,0.23625922887612796,0.4085315832649713,0.6923707957342083,0.8630024610336341,36.0,False
classical_only,completed,dev,0.8385462652467893,0.2100082034454471,0.37407711238720265,0.6447908121410992,0.8441345365053322,30.0,False
plus_embeddings,completed,dev,0.8515748141781158,0.19688269073010664,0.3584905660377358,0.6423297785069729,0.8433141919606235,414.0,False
plus_llm,skipped_missing_llm_cache,dev,,,,,,,False
full_stack,skipped_missing_llm_cache,dev,,,,,,,False
