Target,Split,Evaluation,MAE,ACC_EXACT,ACC_0.5,ACC_1.0,ACC_1.5,MAE_CI95_LOW,MAE_CI95_HIGH
TA,train,oof,0.6683323324585351,0.24432253125797398,0.4630007655014034,0.77175299821383,0.9212809390150548,0.6562934334735041,0.6763245157548011
TA,dev,raw,0.659774230073248,0.24907521578298397,0.4568434032059186,0.7842170160295932,0.9321824907521579,0.6362286732041869,0.6844067846496262
TA,dev,calibrated,0.6397965540866088,0.218249075215783,0.4716399506781751,0.7854500616522812,0.9395807644882861,0.6166849673677093,0.6638686395762452
TA,real_test,raw,0.6878239530010305,0.2296437659033079,0.4440203562340967,0.7741730279898219,0.9173027989821882,0.6595504954547867,0.7155874532170383
TA,real_test,calibrated,0.6939401600573526,0.18893129770992367,0.4541984732824427,0.767175572519084,0.9166666666666666,0.6657155279630528,0.7210446005926754
CC,train,oof,0.8555533017478909,0.1926511865271753,0.3805817810665986,0.6499106915029345,0.8333758611890788,0.8413332737660778,0.8685115500495137
CC,dev,raw,0.8105397371813752,0.20530209617755857,0.40443896424167697,0.6695437731196054,0.8526510480887793,0.7814372251391327,0.8460845121433754
CC,dev,calibrated,0.7851885084368411,0.2342786683107275,0.43033292231812575,0.6781750924784217,0.87422934648582,0.7581886473318579,0.8181978798924049
CC,real_test,raw,0.8703531830522762,0.19720101781170485,0.3619592875318066,0.6463104325699746,0.8295165394402035,0.8356330308094415,0.9038967845300085
CC,real_test,calibrated,0.8763397130910552,0.19529262086513996,0.3861323155216285,0.6170483460559797,0.851145038167939,0.8439474040661101,0.9141104078859015
LR,train,oof,0.8360730924584092,0.17925491196733861,0.357744322531258,0.6643276346006635,0.8494513906608829,0.8225045310092162,0.8478545683067352
LR,dev,raw,0.8283537950234031,0.17570900123304561,0.3520345252774353,0.6763255240443896,0.8649815043156597,0.7985026459423149,0.8606309344308741
LR,dev,calibrated,0.7951800164346199,0.17879161528976573,0.4007398273736128,0.6942046855733662,0.876078914919852,0.764247849927341,0.8266642329209433
LR,real_test,raw,0.8375673345123713,0.1851145038167939,0.36323155216284986,0.6583969465648855,0.8530534351145038,0.8036137095048291,0.8688991605761366
LR,real_test,calibrated,0.8383041254364749,0.18829516539440203,0.37213740458015265,0.6641221374045801,0.8473282442748091,0.8036470691021624,0.8704167785285436
GR,train,oof,0.9754505908483552,0.17121714723143658,0.33120694054605765,0.5960704261291145,0.7823424342944628,0.9602785139755914,0.9909450843647907
GR,dev,raw,0.9617195961646893,0.1843403205918619,0.32614056720098644,0.594327990135635,0.781750924784217,0.9271428088419174,0.9976610325984636
GR,dev,calibrated,0.9272153420567488,0.17385943279901356,0.35141800246609123,0.6085080147965475,0.815043156596794,0.8958183135750484,0.9629599165771991
GR,real_test,raw,0.9805122630487217,0.1717557251908397,0.3212468193384224,0.5909669211195929,0.7684478371501272,0.9425901986015334,1.017353291169879
GR,real_test,calibrated,1.0041531788476592,0.17239185750636132,0.3288804071246819,0.5572519083969466,0.7951653944020356,0.9652185789917167,1.043309734364287
overall_direct,train,oof,0.755351091909729,0.2306710895636642,0.42153610614952797,0.7070681296249043,0.8744577698392447,0.7430795285348679,0.7666606669574288
overall_direct,dev,raw,0.7375081220596742,0.23612823674475955,0.43033292231812575,0.7071516646115906,0.8988902589395807,0.7118863799789467,0.7679466221752808
overall_direct,dev,calibrated,0.7084442141629678,0.24537607891491986,0.45376078914919854,0.7441430332922319,0.9143033292231812,0.6823563181356437,0.7398000629351108
overall_direct,real_test,raw,0.7626528122594869,0.205470737913486,0.41921119592875317,0.7131043256997456,0.8880407124681934,0.73630491960632,0.7951067686877206
overall_direct,real_test,calibrated,0.7599547204868055,0.21882951653944022,0.42811704834605596,0.7175572519083969,0.8880407124681934,0.731055194603862,0.7888689937866685
overall_from_rubrics,train,oof,0.7503189589180913,0.22697116611380455,0.581270732329676,0.7948456238836438,0.924853278897678,0.7364538147486603,0.762702538912988
overall_from_rubrics,dev,raw,0.7342786683107275,0.22749691738594327,0.5813810110974106,0.8156596794081381,0.9364981504315659,0.7052866831072749,0.7675786066584463
overall_from_rubrics,dev,calibrated,0.7355327705768108,0.24229346485819975,0.4445129469790382,0.7120838471023427,0.9173859432799013,0.7084902048361175,0.7645124580648845
overall_from_rubrics,real_test,raw,0.7674936386768448,0.20865139949109415,0.5769720101781171,0.7938931297709924,0.9173027989821882,0.7372614503816795,0.7990537531806616
overall_from_rubrics,real_test,calibrated,0.774971566037359,0.24618320610687022,0.4064885496183206,0.7010178117048346,0.888676844783715,0.7446792633102061,0.8059420792013668
overall_hybrid_stacked,train,meta_fit,0.7156935230998474,0.2735391681551416,0.4613421791273284,0.728502168920643,0.8809645317683082,0.7028629711169333,0.72779270996344
overall_hybrid_stacked,dev,raw,0.7182864422116736,0.25154130702836003,0.4358816276202219,0.7256473489519112,0.9019728729963009,0.6909774680326929,0.7484690197733571
overall_hybrid_stacked,dev,calibrated,0.7034427669506718,0.2558569667077682,0.4519112207151665,0.7404438964241677,0.9106041923551171,0.6787892452426825,0.7305520587125905
overall_hybrid_stacked,real_test,raw,0.7523596253805174,0.2366412213740458,0.4179389312977099,0.7137404580152672,0.8772264631043257,0.7221644508794218,0.7844436848660854
overall_hybrid_stacked,real_test,calibrated,0.7634608527606794,0.2436386768447837,0.4153944020356234,0.7118320610687023,0.8854961832061069,0.7341308679984754,0.796257218058707
